Date,"m=3, W=252","m=3, W=504","m=4, W=252","m=4, W=504"
1955-02-16,0.9915180678182329,0.9913289154404356,0.971125302827162,0.97680513258902
1955-02-17,0.9920233329921283,0.9913450286734681,0.9720424694618857,0.97680513258902
1955-02-18,0.9924150327424069,0.9913289154404357,0.9732207221480087,0.9773014546120855
1955-02-21,0.9919624752880484,0.9911112899244074,0.9730941420197196,0.9772740844215134
1955-02-23,0.9919624752880484,0.9910833189190872,0.9723511307249485,0.9771316523375831
1955-02-24,0.9917861279971502,0.9914833998172405,0.9726442031745627,0.9777204450240149
1955-02-25,0.9922386854515087,0.9914833998172405,0.9727592425439631,0.977932217747844
1955-02-28,0.9927006407132096,0.9914833998172405,0.9721877905147341,0.9776918298946159
1955-03-01,0.9923717228302125,0.9916029016826071,0.972285093273721,0.9775888408265844
1955-03-02,0.9930923404634883,0.991782370814541,0.9728918939306148,0.9776413446904729
1955-03-03,0.9932083441227456,0.9920565840136701,0.9737102950972619,0.9780912383697302
1955-03-04,0.9932083441227456,0.9920143591030331,0.9746437356333099,0.9783575149594876
1955-03-07,0.9930923404634883,0.9918771148817362,0.9738164661614558,0.9786557340116094
1955-03-08,0.9919097675685115,0.9916351870817124,0.9723522355274201,0.9784439612877802
1955-03-09,0.9915940594932672,0.9915792362155174,0.9719796246630442,0.9780611413506216
1955-03-10,0.9920560147549681,0.9914627800782663,0.9723522355274201,0.9777396264870241
1955-03-11,0.9923717228302124,0.991373191426908,0.9728830256254082,0.977317102998339
1955-03-14,0.9919097675685115,0.9907954233550663,0.971969916054981,0.9768904309645244
1955-03-15,0.9925784632534275,0.9909490177856654,0.9723169649982304,0.976804466882001
1955-03-16,0.9925784632534275,0.9910808313476603,0.9730603914578191,0.9770028197175684
1955-03-17,0.9925784632534275,0.9905573165251048,0.972945352088419,0.9770279990730073
1955-03-18,0.9925784632534275,0.9905573165251048,0.9739088321981504,0.9768435965397503
1955-03-21,0.9921259057990689,0.9899601282001093,0.972401644206135,0.9761896310013409
1955-03-22,0.9926716678802427,0.9900084746706582,0.9719759893204934,0.9762158600922244
1955-03-23,0.9926716678802427,0.9902674440172837,0.9717732571159463,0.9759896610089397
1955-03-24,0.9926716678802427,0.9902190975467349,0.9717732571159463,0.9756287707319977
1955-03-25,0.9926716678802427,0.9897610646210262,0.971455485541999,0.9754599192812298
1955-03-28,0.9914769341812817,0.9893362137196982,0.9708093618413971,0.9747868806425078
1955-03-29,0.9910344927325311,0.9894925108957164,0.9698458817316657,0.9743268684825992
1955-03-30,0.9917379195673818,0.9896793569304747,0.9704915902674498,0.9744264646105348
1955-03-31,0.9924395037115832,0.9898185123297616,0.9714161624982909,0.9744264646105348
1955-04-01,0.9923850484945195,0.9894925108957164,0.9704012500223825,0.9744264646105348
1955-04-04,0.9918937416304093,0.9896793569304747,0.9705888930264369,0.9744264646105348
1955-04-05,0.9917379195673817,0.9896226929885256,0.9714161624982909,0.9752007566587935
1955-04-06,0.9916834643503181,0.9899034642581602,0.9722015104640124,0.9759932194935135
1955-04-07,0.9921259057990689,0.9900352778201555,0.9719810416490522,0.9760758787945274
1955-04-11,0.9911903147955584,0.9897545065505208,0.9707545286633898,0.9758496797112429
1955-04-12,0.9911903147955584,0.9900681546841923,0.9699361274967426,0.9757960804297874
1955-04-13,0.9908961303577658,0.9900681546841923,0.9711626404824046,0.9762424410322891
1955-04-14,0.9913892799125252,0.9904791080466361,0.9720686604929412,0.9763861131276177
1955-04-15,0.9914919435593574,0.9901654599129647,0.9730149313316634,0.9762763196577674
1955-04-18,0.9909744307873998,0.9899034642581602,0.9723677352502936,0.9764268998635929
1955-04-19,0.9903588935186795,0.990361497183869,0.972685506824241,0.9767360089055813
1955-04-20,0.9903081518202071,0.9907394724888715,0.972790936269801,0.9768219729881049
1955-04-21,0.9903081518202071,0.9906588724493638,0.9732352879720374,0.9770481720713897
1955-04-22,0.9903081518202071,0.9903973532816128,0.9737633380902485,0.976798659657867
1955-04-25,0.991079511151955,0.9907275956755512,0.9742197507500773,0.9769200722160052
1955-04-26,0.9910795111519553,0.9904779533211203,0.9740170185455302,0.976943385546243
1955-04-27,0.9905482507848066,0.9909118794923177,0.9741143213045171,0.9772975903540027
1955-04-28,0.9905482507848066,0.9905339041873151,0.9741808618695372,0.9772975903540029
1955-04-29,0.9911990932305357,0.9908475523209866,0.9738338129262878,0.9772439910725472
1955-05-02,0.9911990932305357,0.9909371409723449,0.9728673191893141,0.9777323372051532
1955-05-03,0.9900043595315745,0.9909371409723449,0.9724416643036725,0.9779364090643053
1955-05-04,0.9893535170858454,0.9913151162773475,0.9718795221130645,0.977424014236659
1955-05-05,0.9898974083390772,0.9910014681436757,0.9715285388987956,0.9773152305808613
1955-05-06,0.9910515499376374,0.9912356686938983,0.9716339683443558,0.9771078539401996
1955-05-09,0.9898276331515308,0.9907873034913888,0.9707005278083082,0.9769956607667928
1955-05-10,0.989231819949939,0.9903996604631872,0.9696616578267003,0.9769759914408975
1955-05-11,0.987855417130666,0.9900940437858685,0.9682710352857417,0.9768742590395708
1955-05-12,0.9871538329864648,0.989963946072524,0.9675402529629833,0.9766073087615672
1955-05-13,0.9876868497049263,0.9902695627498427,0.9672121950695423,0.9767654753837732
1955-05-16,0.9882826629065179,0.9903399526473495,0.9670094628649955,0.9769772481076021
1955-05-17,0.9873152343514703,0.9904315633769168,0.9679340350958363,0.9775833636005182
1955-05-18,0.9873152343514703,0.9901944131297964,0.9675357362292352,0.9774251901581447
1955-05-19,0.9879141548488397,0.9907275956755512,0.9680313378548234,0.9775494029099121
1955-05-20,0.9882685632036823,0.9910920124230479,0.9686381385117171,0.978260658054283
1955-05-23,0.9873764161737202,0.9915161860642908,0.9672475159707584,0.9785956407933651
1955-05-24,0.9871281010662638,0.9918476162506221,0.9664202464989043,0.9790084394930759
1955-05-25,0.9872241386094963,0.9917704671646883,0.966971367562513,0.9795417750677257
1955-05-26,0.9864244053657788,0.9917704671646883,0.9672386476655517,0.9795749122691055
1955-05-27,0.9869382825758395,0.9917704671646884,0.967766697783763,0.979067728983887
1955-05-31,0.9866252181121268,0.9914256417849187,0.9673683989171616,0.9787327462448047
1955-06-01,0.9864244053657788,0.99126654370986,0.9672386476655517,0.9784059116276176
1955-06-02,0.9875372030732088,0.9917704671646883,0.9677263965835508,0.9783338916587803
1955-06-03,0.9889011032569527,0.9917704671646884,0.9699643668983243,0.978213565148931
1955-06-06,0.9888536008958443,0.991508471509884,0.9703626657649258,0.978189354717794
1955-06-07,0.9891019160033007,0.9918986257211748,0.9696872738428723,0.977901167557666
1955-06-08,0.9888309755958672,0.9913240289137016,0.9693793152213382,0.9777727145759729
1955-06-09,0.9886301628495192,0.991413531300009,0.9677150923625323,0.9775290776282075
1955-06-10,0.9886301628495191,0.9911358763365128,0.9680546129163873,0.97785925031844
1955-06-13,0.9877829272446934,0.9913556599053496,0.9684369323888264,0.9783192624783483
1955-06-14,0.9882546803984749,0.9914102371507356,0.9688746422619703,0.9784319525282219
1955-06-15,0.9882546803984749,0.9915119570813677,0.9681312158023816,0.9785635567256525
1955-06-16,0.9882546803984749,0.9915119570813677,0.9684302905597341,0.9781738164448797
1955-06-17,0.9884826865726812,0.9915119570813677,0.9687293653170865,0.9783770561307491
1955-06-20,0.9875386175943591,0.991642139174177,0.9687293653170863,0.9783770561307489
1955-06-21,0.9886790797317778,0.9919723815681154,0.9695477664837339,0.9785304195242728
1955-06-22,0.9893299221775069,0.9921198544388024,0.9695477664837339,0.9790446543934078
1955-06-23,0.9893299221775069,0.9921198544388024,0.9704608760541609,0.9793771050682195
1955-06-24,0.9893299221775069,0.9918545527756798,0.9707599508115133,0.9796810486675688
1955-06-27,0.989329922177507,0.9922067198627675,0.9712043025137499,0.9801584634905813
1955-06-28,0.9891019160033004,0.9918952324821814,0.9709931435374105,0.9800784359422218
1955-06-29,0.9891019160033004,0.9919723815681154,0.9703677906602123,0.9798030097713567
1955-06-30,0.9883021827595833,0.9916911968767784,0.9695290585279442,0.9796325221696789
1955-07-01,0.9893299221775069,0.9922067198627676,0.9694236290823843,0.9797452122195525
1955-07-05,0.9905301159010719,0.9927445991140854,0.9702291999463569,0.9801688311258042
1955-07-06,0.9894666498027919,0.9924185976800403,0.9685192797497945,0.9798312541790999
1955-07-07,0.9894666498027919,0.9924185976800403,0.969301890755363,0.9801718421430106
1955-07-08,0.9895587256008862,0.9926965422583597,0.9685584642957741,0.9805546620801692
1955-07-11,0.9883717508796218,0.9926080580469974,0.9691435159727602,0.9806991771449683
1955-07-12,0.9886146566225642,0.9926080580469974,0.9686510958603629,0.9805675729475376
