asset,window_size,end_date,edge_prob_pe_to_fr,mean_effect_pe_to_fr,is_robust,n_obs,pe_position
XLV,200,2017-03-09,0.0,0.0,False,199,5
XLV,200,2017-05-09,0.125,0.028844731836081744,False,199,4
XLV,200,2017-07-10,0.045,0.009961154793941013,False,199,3
XLV,200,2017-09-07,0.04,0.0071740701105245264,False,199,1
XLV,200,2017-11-06,0.0,0.0,False,199,2
XLV,200,2018-01-08,0.0,0.0,False,199,1
XLV,200,2018-03-09,0.0,0.0,False,199,4
XLV,200,2018-05-09,0.015,0.003461019466117454,False,199,1
XLV,200,2018-07-10,0.005,-0.0006827143445676146,False,199,5
XLV,200,2018-09-07,0.025,0.0031713124655248885,False,199,5
XLV,200,2018-11-06,0.04,0.0072195921246573334,False,199,2
XLV,200,2019-01-09,0.005,-0.0007232409656232447,False,199,4
XLV,200,2019-03-12,0.0,0.0,False,199,4
XLV,200,2019-05-10,0.0,0.0,False,199,4
XLV,200,2019-07-11,0.0,0.0,False,199,5
XLV,200,2019-09-10,0.0,0.0,False,199,5
XLV,200,2019-11-07,0.01,0.0014021310154132577,False,199,3
XLV,200,2020-01-09,0.005,0.0008076495315602139,False,199,5
XLV,200,2020-03-11,0.005,0.00034596100381141856,False,199,5
XLV,200,2020-05-11,0.045,-0.006747898625242625,False,199,4
XLV,200,2020-07-10,0.0,0.0,False,199,3
XLV,200,2020-09-09,0.0,0.0,False,199,5
XLV,200,2020-11-06,0.0,0.0,False,199,4
XLV,200,2021-01-08,0.04,0.006295285524404591,False,199,3
XLV,200,2021-03-11,0.08,0.013105656361585151,False,199,3
XLV,200,2021-05-11,0.085,0.01421654142616507,False,199,4
